25	sd	reg	30	ten	W	8	Sun	10/31/2010
26	sf	reg	9	den	W	8	Sun	10/31/2010
28	la	reg	4	car	W	10	Sun	10/31/2010
13	ind	reg	12	hou	W	13	Mon	11/1/2010
1	atl	reg	29	tb	W	6	Sun	11/7/2010
2	bal	reg	16	mia	W	16	Sun	11/7/2010
3	buf	reg	5	chi	L	-3	Sun	11/7/2010
4	car	reg	19	no	L	-31	Sun	11/7/2010
7	cle	reg	18	ne	W	20	Sun	11/7/2010
10	det	reg	21	nyj	L	-3	Sun	11/7/2010
11	gb	reg	8	dal	W	38	Sun	11/7/2010
12	hou	reg	25	sd	L	-6	Sun	11/7/2010
17	min	reg	0	ari	W	3	Sun	11/7/2010
22	oak	reg	15	kc	W	3	Sun	11/7/2010
23	phi	reg	13	ind	W	2	Sun	11/7/2010
27	sea	reg	20	nyg	L	-34	Sun	11/7/2010
6	cin	reg	24	pit	L	-6	Mon	11/8/2010
1	atl	reg	2	bal	W	5	Thu	11/11/2010
0	ari	reg	27	sea	L	-18	Sun	11/14/2010
3	buf	reg	10	det	W	2	Sun	11/14/2010
5	chi	reg	17	min	W	14	Sun	11/14/2010
7	cle	reg	21	nyj	L	-6	Sun	11/14/2010
9	den	reg	15	kc	W	20	Sun	11/14/2010
13	ind	reg	6	cin	W	6	Sun	11/14/2010
14	jax	reg	12	hou	W	7	Sun	11/14/2010
16	mia	reg	30	ten	W	12	Sun	11/14/2010
20	nyg	reg	8	dal	L	-13	Sun	11/14/2010
24	pit	reg	18	ne	L	-13	Sun	11/14/2010
26	sf	reg	28	la	W	3	Sun	11/14/2010
29	tb	reg	4	car	W	15	Sun	11/14/2010
31	wsh	reg	23	phi	L	-31	Mon	11/15/2010
16	mia	reg	5	chi	L	-16	Thu	11/18/2010
4	car	reg	2	bal	L	-24	Sun	11/21/2010
6	cin	reg	3	buf	L	-18	Sun	11/21/2010
8	dal	reg	10	det	W	16	Sun	11/21/2010
14	jax	reg	7	cle	W	4	Sun	11/21/2010
15	kc	reg	0	ari	W	18	Sun	11/21/2010
17	min	reg	11	gb	L	-28	Sun	11/21/2010
18	ne	reg	13	ind	W	3	Sun	11/21/2010
19	no	reg	27	sea	W	15	Sun	11/21/2010
21	nyj	reg	12	hou	W	3	Sun	11/21/2010
23	phi	reg	20	nyg	W	10	Sun	11/21/2010
24	pit	reg	22	oak	W	32	Sun	11/21/2010
26	sf	reg	29	tb	L	-21	Sun	11/21/2010
28	la	reg	1	atl	L	-17	Sun	11/21/2010
30	ten	reg	31	wsh	L	-3	Sun	11/21/2010
25	sd	reg	9	den	W	21	Mon	11/22/2010
8	dal	reg	19	no	L	-3	Thu	11/25/2010
10	det	reg	18	ne	L	-21	Thu	11/25/2010
21	nyj	reg	6	cin	W	16	Thu	11/25/2010
1	atl	reg	11	gb	W	3	Sun	11/28/2010
2	bal	reg	29	tb	W	7	Sun	11/28/2010
3	buf	reg	24	pit	L	-3	Sun	11/28/2010
5	chi	reg	23	phi	W	5	Sun	11/28/2010
7	cle	reg	4	car	W	1	Sun	11/28/2010
9	den	reg	28	la	L	-3	Sun	11/28/2010
12	hou	reg	30	ten	W	20	Sun	11/28/2010
13	ind	reg	25	sd	L	-22	Sun	11/28/2010
20	nyg	reg	14	jax	W	4	Sun	11/28/2010
22	oak	reg	16	mia	L	-16	Sun	11/28/2010
27	sea	reg	15	kc	L	-18	Sun	11/28/2010
31	wsh	reg	17	min	L	-4	Sun	11/28/2010
0	ari	reg	26	sf	L	-21	Mon	11/29/2010
23	phi	reg	12	hou	W	10	Thu	12/2/2010
0	ari	reg	28	la	L	-13	Sun	12/5/2010
2	bal	reg	24	pit	L	-3	Sun	12/5/2010
6	cin	reg	19	no	L	-4	Sun	12/5/2010
10	det	reg	5	chi	L	-4	Sun	12/5/2010
11	gb	reg	26	sf	W	18	Sun	12/5/2010
13	ind	reg	8	dal	L	-3	Sun	12/5/2010
15	kc	reg	9	den	W	4	Sun	12/5/2010
16	mia	reg	7	cle	L	-3	Sun	12/5/2010
17	min	reg	3	buf	W	24	Sun	12/5/2010
20	nyg	reg	31	wsh	W	24	Sun	12/5/2010
25	sd	reg	22	oak	L	-15	Sun	12/5/2010
27	sea	reg	4	car	W	17	Sun	12/5/2010
29	tb	reg	1	atl	L	-4	Sun	12/5/2010
30	ten	reg	14	jax	L	-11	Sun	12/5/2010
18	ne	reg	21	nyj	W	42	Mon	12/6/2010
30	ten	reg	13	ind	L	-2	Thu	12/9/2010
0	ari	reg	9	den	W	30	Sun	12/12/2010
3	buf	reg	7	cle	W	7	Sun	12/12/2010
4	car	reg	1	atl	L	-21	Sun	12/12/2010
5	chi	reg	18	ne	L	-29	Sun	12/12/2010
8	dal	reg	23	phi	L	-3	Sun	12/12/2010
10	det	reg	11	gb	W	4	Sun	12/12/2010
14	jax	reg	22	oak	W	7	Sun	12/12/2010
19	no	reg	28	la	W	18	Sun	12/12/2010
21	nyj	reg	16	mia	L	-4	Sun	12/12/2010
24	pit	reg	6	cin	W	16	Sun	12/12/2010
25	sd	reg	15	kc	W	31	Sun	12/12/2010
26	sf	reg	27	sea	W	19	Sun	12/12/2010
31	wsh	reg	29	tb	L	-1	Sun	12/12/2010
